pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight
0.3511199362316194;wupalmer;one_to_many;avg;avg;single;power2;linear
0.3511199362316194;wupalmer;one_to_many;avg;min;single;power2;linear
0.34857648277010866;wupalmer;one_to_many;avg;max;single;power2;prime
0.34857648277010866;wupalmer;one_to_many;avg;avg;single;power2;prime
0.34857648277010866;wupalmer;one_to_many;avg;min;single;power2;prime
0.34653151452264797;wupalmer;one_to_many;avg;max;single;power2;exponential
0.34653151452264797;wupalmer;one_to_many;avg;avg;single;power2;exponential
0.34653151452264797;wupalmer;one_to_many;avg;min;single;power2;exponential
0.3456445863007719;spath;one_to_many;avg;avg;single;power1;
0.3456445863007719;spath;one_to_many;avg;avg;symmetric;power1;
0.3456445863007719;spath;all_to_all;;avg;single;power1;
0.3456445863007719;spath;all_to_all;;avg;single;power1;linear
0.3456445863007719;spath;all_to_all;;avg;single;power1;prime
0.3456445863007719;spath;all_to_all;;avg;single;power1;exponential
0.3456445863007719;spath;all_to_all;;avg;symmetric;power1;
0.3456445863007719;spath;all_to_all;;avg;symmetric;power1;linear
0.3456445863007719;spath;all_to_all;;avg;symmetric;power1;prime
0.3456445863007719;spath;all_to_all;;avg;symmetric;power1;exponential
0.34404857078637296;spath;element_wise;;avg;single;power7;
0.34404857078637296;spath;element_wise;;avg;symmetric;power7;
0.3419859143855687;spath;element_wise;;max;single;power7;linear
0.3419859143855687;spath;element_wise;;avg;single;power7;linear
0.3419859143855687;spath;element_wise;;min;single;power7;linear
0.3419859143855687;spath;element_wise;;max;symmetric;power7;linear
0.3419859143855687;spath;element_wise;;avg;symmetric;power7;linear
0.3419859143855687;spath;element_wise;;min;symmetric;power7;linear
0.3392410312714395;wupalmer;element_wise;;avg;single;power7;
0.3392410312714395;wupalmer;element_wise;;avg;symmetric;power7;
0.33836818088219484;spath;element_wise;;max;single;power7;prime
0.33836818088219484;spath;element_wise;;avg;single;power7;prime
0.33836818088219484;spath;element_wise;;min;single;power7;prime
0.33836818088219484;spath;element_wise;;max;symmetric;power7;prime
0.33836818088219484;spath;element_wise;;avg;symmetric;power7;prime
0.33836818088219484;spath;element_wise;;min;symmetric;power7;prime
0.3377867576894723;wupalmer;element_wise;;max;single;power7;linear
0.3377867576894723;wupalmer;element_wise;;avg;single;power7;linear
0.3377867576894723;wupalmer;element_wise;;min;single;power7;linear
0.3377867576894723;wupalmer;element_wise;;max;symmetric;power7;linear
0.3377867576894723;wupalmer;element_wise;;avg;symmetric;power7;linear
0.3377867576894723;wupalmer;element_wise;;min;symmetric;power7;linear
